date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD,SQUAD_STAN_DEV
30/06/2014,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,0,6.73,9,2,10.79923337,0,0,0,0
01/07/2014,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,1,5.89,2,2,15.20391662,0,0,7,28
02/07/2014,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,2,7.19,2,1,14.97214388,0,0,13,47
03/07/2014,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,3,5.95,6,2,13.4291462,0,0,13,47
04/07/2014,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,4,5.34,8,7,11.63497591,0,0,13,47
05/07/2014,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,5,5.53,8,9,8.916381002,0,0,13,47
06/07/2014,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,6,5.61,7,1,12.78474761,0,0,13,47
07/07/2014,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,7,6.38,9,3,11.20586747,0,0,64,77
08/07/2014,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,8,5.38,3,5,14.86827565,0,0,116,107
09/07/2014,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,526,11,18.1,273,5.3,8.5,808.7,8.4,29,96,32,327.8,3.4,11386.2,118.6,4145.5,86.4,142.9,4741.3,91.2,148.2,0,0,9,5.03,8,8,14.78120588,0,0,118,108
