date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD
30/06/2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,0,8.18,2,6,11.89616805,0,0,0
01/07/2014,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,1,6.94,6,9,10.47552948,0,0,7
02/07/2014,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,2,6.2,9,3,14.14776047,0,0,13
03/07/2014,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,3,7.93,4,7,10.73689138,0,0,13
04/07/2014,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,4,4.52,2,1,13.68069338,0,0,13
05/07/2014,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,5,5.63,9,7,13.40692661,0,0,13
06/07/2014,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,6,5.02,2,3,12.96117965,0,0,13
07/07/2014,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,7,7.87,6,3,15.63755182,0,0,64
08/07/2014,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,8,7.76,8,3,11.37476246,0,0,116
09/07/2014,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,264.3,5.5,9.1,522.9,10.1,16.3,816.8,8.5,29,96,32,364.2,3.8,11854.7,123.5,4036,84.1,139.2,5115.6,98.4,159.9,0,0,9,7.59,4,3,11.52008424,0,0,118
