date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD
30/06/2014,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,0,7.19,2,5,15.92300937,0,0,0
01/07/2014,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,1,5.98,4,1,11.19746583,0,0,7
02/07/2014,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,2,5.8,9,1,14.32279959,0,0,13
03/07/2014,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,3,4.97,5,1,16.52832842,0,0,13
04/07/2014,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,4,6.35,1,9,15.82010154,0,0,13
05/07/2014,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,5,5.46,1,1,14.35427893,0,0,13
06/07/2014,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,6,7.2,4,7,10.72085106,0,0,13
07/07/2014,14,8,66,6981,1139,677,749,67,300,28,0.9,9,33,100,0,0.4,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,7,4.49,9,5,13.36977804,107,26,64
08/07/2014,14,9,87,9408,1131,809,976,203,444,28,2.1,21,67,100,0,0.6,0.6,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,8,6.37,9,1,12.14895113,246,61,116
09/07/2014,14,10,0,0,0,0,0,0,0,0,0,21,67,100,0,0.6,0.6,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,9,7.37,8,5,12.06549399,246,61,118
10/07/2014,14,11,94,10132,681,405,1147,226,692,30,2,34,87,100,0,0.8,0.8,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,10,6.37,6,5,15.1477355,410,102,188
11/07/2014,14,12,87,8909,398,121,1001,198,434,26,2,45,98,100,0,1,0.9,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,11,6.22,2,4,14.4665718,553,138,252
12/07/2014,14,13,0,0,0,0,0,0,0,0,0,45,98,80,0,1,0.9,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,12,6.73,1,9,13.91278092,553,138,252
13/07/2014,14,14,79,7900,448,214,875,161,571,29,1.8,55,111,62,0.4,1.4,1.1,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,13,7.25,8,9,11.69887674,678,169,306
14/07/2014,14,15,82,7084,35,8,783,144,309,25,1.8,64,113,67,0.4,1.4,0.9,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,14,5.51,4,5,19.16035713,683,197,302
15/07/2014,14,16,90,11657,364,127,1230,93,478,29,0.8,79,123,57,0.3,1.4,1,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,15,5.59,4,9,16.22492257,719,241,293
16/07/2014,14,17,0,0,0,0,0,0,0,0,0,79,123,43,0.2,1.4,1,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,16,6.84,1,4,14.73846401,719,241,286
17/07/2014,14,18,90,6654,39,0,806,163,316,23,2,87,124,48,0.2,1.4,0.9,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,17,6.14,4,8,16.67763434,670,270,266
18/07/2014,14,19,49,4360,57,10,494,79,263,25,1.6,93,126,41,0.1,1.3,0.7,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,176.6,3.7,6.1,416.9,8,13,604.5,6.3,29,96,32,200.2,2.1,12243.8,127.5,4221.8,88,145.6,5472.9,105.2,171,0,0,18,6.44,8,9,16.1564539,598,287,232
