date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD
30/06/2014,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,0,4.38,8,3,9.794378018,0,0,0
01/07/2014,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,1,7.43,1,6,15.5815223,0,0,7
02/07/2014,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,2,5.16,6,5,11.01052107,0,0,13
03/07/2014,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,3,5.33,5,4,16.24843765,0,0,13
04/07/2014,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,4,6.06,3,6,11.06460297,0,0,13
05/07/2014,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,5,4.69,8,1,12.22649998,0,0,13
06/07/2014,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,6,8.04,2,7,14.29800454,0,0,13
07/07/2014,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,7,4,1,6,13.53953449,0,0,64
08/07/2014,11,9,87,7591,1048,745,773,219,400,27,2.8,11,30,100,0,0.4,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,8,6.01,5,2,13.12983511,110,27,116
09/07/2014,11,10,0,0,0,0,0,0,0,0,0,11,30,100,0,0.4,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,243,5.1,11,476.1,9.2,18.3,749,10.1,22,74,26,374.2,5.1,8206.1,110.9,2865.2,59.7,130.2,3497.3,67.3,134.5,0,0,9,6.42,2,8,12.76549096,110,27,118
